DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,PAYAR,BELEL NDIAMALA PEULH,1,360,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,BOKI SADA,1,376,CLASSE CE2
KOUMPENTOUM,PAYAR,DAROU MANNA,1,111,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,DAROU NAHIM,1,159,CLASSE CP
KOUMPENTOUM,PAYAR,DAROU SALAM 1,1,260,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,DAROU SALAM PAYAR,1,209,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,DIATMEL,1,565,CLASSE CI
KOUMPENTOUM,PAYAR,DIOUGUEL BOULI,1,384,CLASSE CI
KOUMPENTOUM,PAYAR,GASSE,1,247,CLASSE CP
KOUMPENTOUM,PAYAR,LOUMBI SIMBIGNE,1,460,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,LOUMBI TRAVAUX,1,381,CLASSE CE2
KOUMPENTOUM,PAYAR,LOUMBOL YORO,1,79,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,NAYOM BAPEL,1,245,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,NAYOM DIA,1,296,CLASSE CE2
KOUMPENTOUM,PAYAR,NDINDI,1,325,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,PAYAR,1,503,CLASSE CM2
KOUMPENTOUM,PAYAR,PAYAR,2,170,CLASSE CE2
KOUMPENTOUM,PAYAR,PETEL PEULH,1,399,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,REHAYE DEMBA SANE,1,384,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,SARE WOKA,1,480,CLASSE CP
KOUMPENTOUM,PAYAR,SINTHIOU DIOUGUEL,1,199,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,SOUTHIE,1,252,CLASSE CI
KOUMPENTOUM,PAYAR,THIAKHATHIE,1,209,ABRI PROVISOIRE
KOUMPENTOUM,PAYAR,TOUBA NAYOM,1,310,ABRI PROVISOIRE
