DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,GUEDE VILLAGE,AGNAM TOWNGUEL,1,520,CLASSE CE1
PODOR,GUEDE VILLAGE,AGNAM TOWNGUEL,2,106,CLASSE CM1
PODOR,GUEDE VILLAGE,BELEL KELLE,1,557,CLASSE CE1
PODOR,GUEDE VILLAGE,BELEL KELLE,2,113,CLASSE CP
PODOR,GUEDE VILLAGE,DADO,1,293,CLASSE CP
PODOR,GUEDE VILLAGE,DECOLE,1,500,CLASSE CE1
PODOR,GUEDE VILLAGE,DIAMA ALWALI,1,410,CLASSE CE1
PODOR,GUEDE VILLAGE,DIAMA ALWALI,2,410,CLASSE CE2
PODOR,GUEDE VILLAGE,DIAMBO,1,305,CLASSE CE1
PODOR,GUEDE VILLAGE,DIAMBO,2,302,CLASSE CI ECOLE
PODOR,GUEDE VILLAGE,DIAMBO BELEL,1,276,ECOLE DIAMBO DIAOBE CI
PODOR,GUEDE VILLAGE,DIATAR,1,562,CLASSE CE1
PODOR,GUEDE VILLAGE,DIATAR,2,562,CLASSE CE2
PODOR,GUEDE VILLAGE,DIATAR,3,562,SALLE DE CLASSE
PODOR,GUEDE VILLAGE,DIEGUESS,1,304,ABRI PROVISOIRE
PODOR,GUEDE VILLAGE,DOUE,1,530,CLASSE CE2
PODOR,GUEDE VILLAGE,DOUE,2,179,SALLE DE CLASSE
PODOR,GUEDE VILLAGE,ECOLE DE DONAYE WALO,1,109,ECOLE CP1
PODOR,GUEDE VILLAGE,ECOLE DONAYE,1,536,CLASSE CP
PODOR,GUEDE VILLAGE,ECOLE DONAYE,2,536,CLASSE CE1
PODOR,GUEDE VILLAGE,ECOLE DONAYE,3,535,CLASSE CE2
PODOR,GUEDE VILLAGE,ECOLE DONAYE,4,536,SALLE DE CLASSE
PODOR,GUEDE VILLAGE,ECOLE GUEDE VILLAGE,1,530,CLASSE CE1
PODOR,GUEDE VILLAGE,ECOLE GUEDE VILLAGE,2,525,CLASSE CE2
PODOR,GUEDE VILLAGE,ECOLE GUEDE VILLAGE,3,504,CLASSE CM1
PODOR,GUEDE VILLAGE,ECOLE GUEDE VILLAGE,4,439,CLASSE CM2
PODOR,GUEDE VILLAGE,ECOLE THIACKLE,1,540,CLASSE CP
PODOR,GUEDE VILLAGE,FONDE ASS,1,322,CLASSE CE1
PODOR,GUEDE VILLAGE,GOUMEL,1,106,ECOLE CP1
PODOR,GUEDE VILLAGE,GUEDE WOURO,1,128,CLASSE CP
PODOR,GUEDE VILLAGE,GUIA,1,560,CLASSE CP
PODOR,GUEDE VILLAGE,GUIA,2,555,CLASSE CE 1
PODOR,GUEDE VILLAGE,GUIA,3,558,CLASSE CE 2
PODOR,GUEDE VILLAGE,GUIA,4,556,CLASSE CM 1
PODOR,GUEDE VILLAGE,KODIT,1,202,CLASSE CE 1
PODOR,GUEDE VILLAGE,LERABE,1,572,CLASSE CE 1
PODOR,GUEDE VILLAGE,LERABE,2,562,CLASSE CP
PODOR,GUEDE VILLAGE,LERABE,3,68,ECOLE CM1
PODOR,GUEDE VILLAGE,MAFRE,1,355,CLASSE CP
PODOR,GUEDE VILLAGE,MAISON FAMILIALE GUEDE,1,464,ECOLE MEDINA FRESBE CE 1
PODOR,GUEDE VILLAGE,MAISON FAMILIALE GUEDE,2,464,ECOLE MEDINA PRESBE CP 1
PODOR,GUEDE VILLAGE,MBANTOU,1,468,CLASSE CE 1
PODOR,GUEDE VILLAGE,MBANTOU,2,206,SALLE DE CLASSE
PODOR,GUEDE VILLAGE,MBANTOU CROISEMENT,1,427,CLASSE CE 2
PODOR,GUEDE VILLAGE,MBIDDI,1,386,CLASSE CE 2
PODOR,GUEDE VILLAGE,MBIDDI,2,387,CLASSE CE1 ECOLE
PODOR,GUEDE VILLAGE,MBOYO,1,503,CLASSE CE 2
PODOR,GUEDE VILLAGE,MBOYO,2,504,CLASSE CM 1
PODOR,GUEDE VILLAGE,MBOYO,3,504,CLASSE CE1 ECOLE
PODOR,GUEDE VILLAGE,MEREZICK,1,61,ECOLE CM 1
PODOR,GUEDE VILLAGE,NDIAWARA,1,497,CLASSE CE 1
PODOR,GUEDE VILLAGE,NDIAWARA,2,496,CLASSE CE 2
PODOR,GUEDE VILLAGE,NENETTE,1,460,CLASSE CE 1
PODOR,GUEDE VILLAGE,NENETTE,2,460,CLASSE CE 2
PODOR,GUEDE VILLAGE,NGHAOULE,1,318,CLASSE CP
PODOR,GUEDE VILLAGE,NGHAOULE,2,318,CLASSE CE 1
PODOR,GUEDE VILLAGE,OURO MADIHOU,1,497,CLASSE CE 2
PODOR,GUEDE VILLAGE,OUROURBE NENETTE,1,331,ABRI PROVISOIRE
PODOR,GUEDE VILLAGE,PETEL DIEGUESS,1,402,CLASSE CE 1
PODOR,GUEDE VILLAGE,TAREDJI,1,485,CLASSE CE 2
PODOR,GUEDE VILLAGE,TAREDJI,2,485,CLASSE CM 1
